InvoiceDate,StockCode,TotalQuantity
2011-01-09,62096A,1
2011-01-10,62096A,1
2011-01-11,62096A,1
2011-01-12,62096A,1
2011-01-13,62096A,1
2011-01-14,62096A,1
2011-01-15,62096A,1
2011-01-16,62096A,1
2011-01-17,62096A,1
2011-01-18,62096A,1
2011-01-19,62096A,1
2011-01-20,62096A,1
2011-01-21,62096A,1
2011-01-22,62096A,1
2011-01-23,62096A,1
2011-01-24,62096A,1
2011-01-25,62096A,25
2011-01-26,62096A,1
2011-01-27,62096A,1
2011-01-28,62096A,1
2011-01-29,62096A,1
2011-01-30,62096A,1
2011-01-31,62096A,1
2011-02-01,62096A,1
2011-02-02,62096A,1
2011-02-03,62096A,1
2011-02-04,62096A,1
2011-02-05,62096A,1
2011-02-06,62096A,1
2011-02-07,62096A,1
2011-02-08,62096A,1
2011-02-09,62096A,1
2011-02-10,62096A,1
2011-02-11,62096A,1
2011-02-12,62096A,1
2011-02-13,62096A,1
2011-02-14,62096A,1
2011-02-15,62096A,13
2011-02-16,62096A,1
2011-02-17,62096A,1
2011-02-18,62096A,1
2011-02-19,62096A,1
2011-02-20,62096A,1
2011-02-21,62096A,7
2011-02-22,62096A,1
2011-02-23,62096A,1
2011-02-24,62096A,47
2009-12-01,84898F,6
2009-12-02,84898F,1
2009-12-03,84898F,1
2009-12-04,84898F,1
2009-12-05,84898F,1
2009-12-06,84898F,2
2009-12-07,84898F,1
2009-12-08,84898F,1
2009-12-09,84898F,1
2009-12-10,84898F,1
2009-12-11,84898F,1
2009-12-12,84898F,1
2009-12-13,84898F,1
2009-12-14,84898F,1
2009-12-15,84898F,1
2009-12-16,84898F,1
2009-12-17,84898F,1
2009-12-18,84898F,1
2009-12-19,84898F,1
2009-12-20,84898F,1
2009-12-21,84898F,1
2009-12-22,84898F,1
2009-12-23,84898F,1
2009-12-24,84898F,1
2009-12-25,84898F,1
2009-12-26,84898F,1
2009-12-27,84898F,1
2009-12-28,84898F,1
2009-12-29,84898F,1
2009-12-30,84898F,1
2009-12-31,84898F,1
2010-01-01,84898F,1
2010-01-02,84898F,1
2010-01-03,84898F,1
2010-01-04,84898F,1
2010-01-05,84898F,1
2010-01-06,84898F,1
2010-01-07,84898F,1
2010-01-08,84898F,1
2010-01-09,84898F,1
2010-01-10,84898F,1
2010-01-11,84898F,1
2010-01-12,84898F,1
2010-01-13,84898F,1
2010-01-14,84898F,1
2010-01-15,84898F,1
2010-01-16,84898F,1
2010-01-17,84898F,1
2010-01-18,84898F,1
2010-01-19,84898F,1
2010-01-20,84898F,1
2010-01-21,84898F,1
2010-01-22,84898F,1
2010-01-23,84898F,1
2010-01-24,84898F,1
2010-01-25,84898F,1
2010-01-26,84898F,1
2010-01-27,84898F,1
2010-01-28,84898F,1
2010-01-29,84898F,1
2010-01-30,84898F,1
2010-01-31,84898F,1
2010-02-01,84898F,1
2010-02-02,84898F,2
2010-02-03,84898F,1
2010-02-04,84898F,3
2010-02-05,84898F,1
2010-02-06,84898F,1
2010-02-07,84898F,1
2010-02-08,84898F,6
2010-02-09,84898F,1
2010-02-10,84898F,1
2010-02-11,84898F,1
2010-02-12,84898F,8
2010-02-13,84898F,1
2010-02-14,84898F,1
2010-02-15,84898F,1
2010-02-16,84898F,1
2010-02-17,84898F,1
2010-02-18,84898F,1
2010-02-19,84898F,1
2010-02-20,84898F,1
2010-02-21,84898F,1
2010-02-22,84898F,1
2010-02-23,84898F,1
2010-02-24,84898F,1
2010-02-25,84898F,4
2010-02-26,84898F,1
2010-02-27,84898F,1
2010-02-28,84898F,1
2010-03-01,84898F,1
2010-03-02,84898F,1
2010-03-03,84898F,1
2010-03-04,84898F,1
2010-03-05,84898F,1
2010-03-06,84898F,1
2010-03-07,84898F,1
2010-03-08,84898F,1
2010-03-09,84898F,1
2010-03-10,84898F,3
2010-03-11,84898F,1
2010-03-12,84898F,1
2010-03-13,84898F,1
2010-03-14,84898F,1
2010-03-15,84898F,1
2010-03-16,84898F,1
2010-03-17,84898F,1
2010-03-18,84898F,1
2010-03-19,84898F,1
2010-03-20,84898F,1
2010-03-21,84898F,1
2010-03-22,84898F,1
2010-03-23,84898F,1
2010-03-24,84898F,1
2010-03-25,84898F,1
2010-03-26,84898F,1
2010-03-27,84898F,1
2010-03-28,84898F,7
2010-03-29,84898F,1
2010-03-30,84898F,13
2010-03-31,84898F,1
2010-04-01,84898F,1
2010-04-02,84898F,1
2010-04-03,84898F,1
2010-04-04,84898F,1
2010-04-05,84898F,1
2010-04-06,84898F,1
2010-04-07,84898F,1
2010-04-08,84898F,1
2010-04-09,84898F,1
2010-04-10,84898F,1
2010-04-11,84898F,1
2010-04-12,84898F,1
2010-04-13,84898F,1
2010-04-14,84898F,1
2010-04-15,84898F,1
2010-04-16,84898F,1
2010-04-17,84898F,1
2010-04-18,84898F,1
2010-04-19,84898F,1
2010-04-20,84898F,1
2010-04-21,84898F,1
2010-04-22,84898F,1
2010-04-23,84898F,1
2010-04-24,84898F,1
2010-04-25,84898F,1
2010-04-26,84898F,1
2010-04-27,84898F,1
2010-04-28,84898F,1
2010-04-29,84898F,1
2010-04-30,84898F,1
2010-05-01,84898F,1
2010-05-02,84898F,1
2010-05-03,84898F,1
2010-05-04,84898F,1
2010-05-05,84898F,1
2010-05-06,84898F,1
2010-05-07,84898F,1
2010-05-08,84898F,1
2010-05-09,84898F,1
2010-05-10,84898F,1
2010-05-11,84898F,1
2010-05-12,84898F,1
2010-05-13,84898F,1
2010-05-14,84898F,1
2010-05-15,84898F,1
2010-05-16,84898F,1
2010-05-17,84898F,1
2010-05-18,84898F,1
2010-05-19,84898F,3
2010-05-20,84898F,1
2010-05-21,84898F,1
2010-05-22,84898F,1
2010-05-23,84898F,1
2010-05-24,84898F,1
2010-05-25,84898F,7
2010-05-26,84898F,1
2010-05-27,84898F,1
2010-05-28,84898F,1
2010-05-29,84898F,1
2010-05-30,84898F,1
2010-05-31,84898F,1
2010-06-01,84898F,1
2010-06-02,84898F,1
2010-06-03,84898F,1
2010-06-04,84898F,1
2010-06-05,84898F,1
2010-06-06,84898F,1
2010-06-07,84898F,1
2010-06-08,84898F,1
2010-06-09,84898F,1
2010-06-10,84898F,1
2010-06-11,84898F,1
2010-06-12,84898F,1
2010-06-13,84898F,1
2010-06-14,84898F,1
2010-06-15,84898F,1
2010-06-16,84898F,1
2010-06-17,84898F,1
2010-06-18,84898F,1
2010-06-19,84898F,1
2010-06-20,84898F,3
2010-06-21,84898F,1
2010-06-22,84898F,1
2010-06-23,84898F,1
2010-06-24,84898F,7
2010-06-25,84898F,1
2010-06-26,84898F,1
2010-06-27,84898F,1
2010-06-28,84898F,1
2010-06-29,84898F,1
2010-06-30,84898F,1
2010-07-01,84898F,1
2010-07-02,84898F,1
2010-07-03,84898F,1
2010-07-04,84898F,1
2010-07-05,84898F,1
2010-07-06,84898F,1
2010-07-07,84898F,1
2010-07-08,84898F,1
2010-07-09,84898F,1
2010-07-10,84898F,1
2010-07-11,84898F,1
2010-07-12,84898F,1
2010-07-13,84898F,1
2010-07-14,84898F,13
2010-07-15,84898F,1
2010-07-16,84898F,1
2010-07-17,84898F,1
2010-07-18,84898F,1
2010-07-19,84898F,7
2010-07-20,84898F,7
2010-07-21,84898F,5
2010-07-22,84898F,1
2010-07-23,84898F,1
2010-07-24,84898F,1
2010-07-25,84898F,3
2010-07-26,84898F,1
2010-07-27,84898F,3
2010-07-28,84898F,1
2010-07-29,84898F,1
2010-07-30,84898F,1
2010-07-31,84898F,1
2010-08-01,84898F,5
2010-08-02,84898F,1
2010-08-03,84898F,3
2010-08-04,84898F,1
2010-08-05,84898F,1
2010-08-06,84898F,1
2010-08-07,84898F,1
2010-08-08,84898F,1
2010-08-09,84898F,1
2010-08-10,84898F,1
2010-08-11,84898F,1
2010-08-12,84898F,1
2010-08-13,84898F,1
2010-08-14,84898F,1
2010-08-15,84898F,1
2010-08-16,84898F,1
2010-08-17,84898F,1
2010-08-18,84898F,1
2010-08-19,84898F,1
2010-08-20,84898F,1
2010-08-21,84898F,1
2010-08-22,84898F,1
2010-08-23,84898F,1
2010-08-24,84898F,1
2010-08-25,84898F,1
2010-08-26,84898F,3
2010-08-27,84898F,1
2010-08-28,84898F,1
2010-08-29,84898F,2
2010-08-30,84898F,1
2010-08-31,84898F,1
2010-09-01,84898F,1
2010-09-02,84898F,1
2010-09-03,84898F,1
2010-09-04,84898F,1
2010-09-05,84898F,1
2010-09-06,84898F,5
2010-09-07,84898F,1
2010-09-08,84898F,4
2010-09-09,84898F,1
2010-09-10,84898F,1
2010-09-11,84898F,1
2010-09-12,84898F,1
2010-09-13,84898F,1
2010-09-14,84898F,1
2010-09-15,84898F,1
2010-09-16,84898F,1
2010-09-17,84898F,1
2010-09-18,84898F,1
2010-09-19,84898F,1
2010-09-20,84898F,1
2010-09-21,84898F,1
2010-09-22,84898F,1
2010-09-23,84898F,1
2010-09-24,84898F,1
2010-09-25,84898F,1
2010-09-26,84898F,1
2010-09-27,84898F,1
2010-09-28,84898F,1
2010-09-29,84898F,3
2010-09-30,84898F,1
2010-10-01,84898F,1
2010-10-02,84898F,1
2010-10-03,84898F,1
2010-10-04,84898F,1
2010-10-05,84898F,1
2010-10-06,84898F,1
2010-10-07,84898F,1
2010-10-08,84898F,1
2010-10-09,84898F,1
2010-10-10,84898F,1
2010-10-11,84898F,1
2010-10-12,84898F,1
2010-10-13,84898F,1
2010-10-14,84898F,1
2010-10-15,84898F,1
2010-10-16,84898F,1
2010-10-17,84898F,1
2010-10-18,84898F,1
2010-10-19,84898F,1
2010-10-20,84898F,1
2010-10-21,84898F,1
2010-10-22,84898F,1
2010-10-23,84898F,1
2010-10-24,84898F,1
2010-10-25,84898F,1
2010-10-26,84898F,1
2010-10-27,84898F,1
2010-10-28,84898F,1
2010-10-29,84898F,1
2010-10-30,84898F,1
2010-10-31,84898F,1
2010-11-01,84898F,1
2010-11-02,84898F,1
2010-11-03,84898F,1
2010-11-04,84898F,1
2010-11-05,84898F,1
2010-11-06,84898F,1
2010-11-07,84898F,1
2010-11-08,84898F,3
2010-11-09,84898F,1
2010-11-10,84898F,1
2010-11-11,84898F,1
2010-11-12,84898F,1
2010-11-13,84898F,1
2010-11-14,84898F,1
2010-11-15,84898F,5
2010-11-16,84898F,1
2010-11-17,84898F,1
2010-11-18,84898F,1
2010-11-19,84898F,1
2010-11-20,84898F,1
2010-11-21,84898F,3
2010-11-22,84898F,1
2010-11-23,84898F,2
2010-11-24,84898F,1
2010-11-25,84898F,1
2010-11-26,84898F,1
2010-11-27,84898F,1
2010-11-28,84898F,1
2010-11-29,84898F,1
2010-11-30,84898F,1
2010-12-01,84898F,1
2010-12-02,84898F,1
2010-12-03,84898F,1
2010-12-04,84898F,1
2010-12-05,84898F,8
2010-12-06,84898F,1
2010-12-07,84898F,1
2010-12-08,84898F,1
2010-12-09,84898F,1
2010-12-10,84898F,1
2010-12-11,84898F,1
2010-12-12,84898F,1
2010-12-13,84898F,1
2010-12-14,84898F,1
2010-12-15,84898F,1
2010-12-16,84898F,2
2010-12-17,84898F,1
2010-12-18,84898F,1
2010-12-19,84898F,2
2010-12-20,84898F,1
2010-12-21,84898F,1
2010-12-22,84898F,1
2010-12-23,84898F,3
2010-12-24,84898F,1
2010-12-25,84898F,1
2010-12-26,84898F,1
2010-12-27,84898F,1
2010-12-28,84898F,1
2010-12-29,84898F,1
2010-12-30,84898F,1
2010-12-31,84898F,1
2011-01-01,84898F,1
2011-01-02,84898F,1
2011-01-03,84898F,1
2011-01-04,84898F,1
2011-01-05,84898F,1
2011-01-06,84898F,1
2011-01-07,84898F,5
2011-01-08,84898F,1
2011-01-09,84898F,9
2011-01-10,84898F,1
2011-01-11,84898F,1
2011-01-12,84898F,1
2011-01-13,84898F,1
2011-01-14,84898F,1
2011-01-15,84898F,1
2011-01-16,84898F,1
2011-01-17,84898F,1
2011-01-18,84898F,1
2011-01-19,84898F,1
2011-01-20,84898F,1
2011-01-21,84898F,1
2011-01-22,84898F,1
2011-01-23,84898F,1
2011-01-24,84898F,1
2011-01-25,84898F,1
2011-01-26,84898F,1
2011-01-27,84898F,1
2011-01-28,84898F,1
2011-01-29,84898F,1
2011-01-30,84898F,1
2011-01-31,84898F,1
2011-02-01,84898F,1
2011-02-02,84898F,1
2011-02-03,84898F,1
2011-02-04,84898F,1
2011-02-05,84898F,1
2011-02-06,84898F,1
2011-02-07,84898F,2
2011-02-08,84898F,1
2011-02-09,84898F,1
2011-02-10,84898F,1
2011-02-11,84898F,1
2011-02-12,84898F,1
2011-02-13,84898F,1
2011-02-14,84898F,1
2011-02-15,84898F,1
2011-02-16,84898F,1
2011-02-17,84898F,1
2011-02-18,84898F,1
2011-02-19,84898F,1
2011-02-20,84898F,1
2011-02-21,84898F,2
2011-02-22,84898F,1
2011-02-23,84898F,1
2011-02-24,84898F,1
2011-02-25,84898F,1
2011-02-26,84898F,1
2011-02-27,84898F,1
2011-02-28,84898F,2
2011-03-01,84898F,1
2011-03-02,84898F,1
2011-03-03,84898F,7
2011-03-04,84898F,1
2011-03-05,84898F,1
2011-03-06,84898F,1
2011-03-07,84898F,1
2011-03-08,84898F,10
2011-03-09,84898F,1
2011-03-10,84898F,1
2011-03-11,84898F,1
2011-03-12,84898F,1
2011-03-13,84898F,1
2011-03-14,84898F,2
2011-03-15,84898F,1
2011-03-16,84898F,1
2011-03-17,84898F,1
2011-03-18,84898F,1
2011-03-19,84898F,1
2011-03-20,84898F,1
2011-03-21,84898F,1
2011-03-22,84898F,1
2011-03-23,84898F,1
2011-03-24,84898F,5
2010-02-04,84923,3
2010-02-05,84923,1
2010-02-06,84923,1
2010-02-07,84923,1
2010-02-08,84923,1
2010-02-09,84923,1
2010-02-10,84923,1
2010-02-11,84923,1
2010-02-12,84923,1
2010-02-13,84923,1
2010-02-14,84923,1
2010-02-15,84923,1
2010-02-16,84923,1
2010-02-17,84923,1
2010-02-18,84923,1
2010-02-19,84923,1
2010-02-20,84923,1
2010-02-21,84923,1
2010-02-22,84923,1
2010-02-23,84923,1
2010-02-24,84923,1
2010-02-25,84923,1
2010-02-26,84923,1
2010-02-27,84923,1
2010-02-28,84923,1
2010-03-01,84923,1
2010-03-02,84923,1
2010-03-03,84923,1
2010-03-04,84923,1
2010-03-05,84923,1
2010-03-06,84923,1
2010-03-07,84923,1
2010-03-08,84923,1
2010-03-09,84923,1
2010-03-10,84923,1
2010-03-11,84923,1
2010-03-12,84923,1
2010-03-13,84923,1
2010-03-14,84923,1
2010-03-15,84923,1
2010-03-16,84923,1
2010-03-17,84923,1
2010-03-18,84923,1
2010-03-19,84923,1
2010-03-20,84923,1
2010-03-21,84923,1
2010-03-22,84923,1
2010-03-23,84923,1
2010-03-24,84923,1
2010-03-25,84923,1
2010-03-26,84923,1
2010-03-27,84923,1
2010-03-28,84923,1
2010-03-29,84923,1
2010-03-30,84923,1
2010-03-31,84923,1
2010-04-01,84923,1
2010-04-02,84923,1
2010-04-03,84923,1
2010-04-04,84923,1
2010-04-05,84923,1
2010-04-06,84923,1
2010-04-07,84923,1
2010-04-08,84923,1
2010-04-09,84923,1
2010-04-10,84923,1
2010-04-11,84923,1
2010-04-12,84923,1
2010-04-13,84923,1
2010-04-14,84923,1
2010-04-15,84923,1
2010-04-16,84923,1
2010-04-17,84923,1
2010-04-18,84923,1
2010-04-19,84923,2
2010-04-20,84923,1
2010-04-21,84923,1
2010-04-22,84923,1
2010-04-23,84923,1
2010-04-24,84923,1
2010-04-25,84923,1
2010-04-26,84923,2
2010-04-27,84923,1
2010-04-28,84923,1
2010-04-29,84923,2
2010-04-30,84923,1
2010-05-01,84923,1
2010-05-02,84923,1
2010-05-03,84923,1
2010-05-04,84923,1
2010-05-05,84923,1
2010-05-06,84923,1
2010-05-07,84923,1
2010-05-08,84923,1
2010-05-09,84923,1
2010-05-10,84923,1
2010-05-11,84923,2
2010-05-12,84923,2
2010-05-13,84923,1
2010-05-14,84923,1
2010-05-15,84923,1
2010-05-16,84923,1
2010-05-17,84923,1
2010-05-18,84923,1
2010-05-19,84923,1
2010-05-20,84923,1
2010-05-21,84923,4
2010-05-22,84923,1
2010-05-23,84923,1
2010-05-24,84923,1
2010-05-25,84923,1
2010-05-26,84923,1
2010-05-27,84923,1
2010-05-28,84923,1
2010-05-29,84923,1
2010-05-30,84923,1
2010-05-31,84923,1
2010-06-01,84923,1
2010-06-02,84923,2
2010-06-03,84923,1
2010-06-04,84923,3
2010-06-05,84923,1
2010-06-06,84923,1
2010-06-07,84923,1
2010-06-08,84923,1
2010-06-09,84923,2
2010-06-10,84923,1
2010-06-11,84923,1
2010-06-12,84923,1
2010-06-13,84923,1
2010-06-14,84923,1
2010-06-15,84923,1
2010-06-16,84923,2
2010-06-17,84923,1
2010-06-18,84923,1
2010-06-19,84923,1
2010-06-20,84923,1
2010-06-21,84923,1
2010-06-22,84923,2
2010-06-23,84923,1
2010-06-24,84923,1
2010-06-25,84923,1
2010-06-26,84923,1
2010-06-27,84923,1
2010-06-28,84923,3
2010-06-29,84923,1
2010-06-30,84923,2
2010-07-01,84923,1
2010-07-02,84923,1
2010-07-03,84923,1
2010-07-04,84923,2
2010-07-05,84923,2
2010-07-06,84923,5
2010-07-07,84923,2
2010-07-08,84923,1
2010-07-09,84923,3
2010-07-10,84923,1
2010-07-11,84923,1
2010-07-12,84923,1
2010-07-13,84923,1
2010-07-14,84923,6
2010-07-15,84923,1
2010-07-16,84923,1
2010-07-17,84923,1
2010-07-18,84923,1
2010-07-19,84923,1
2010-07-20,84923,1
2010-07-21,84923,1
2010-07-22,84923,2
2010-07-23,84923,1
2010-07-24,84923,1
2010-07-25,84923,1
2010-07-26,84923,1
2010-07-27,84923,1
2010-07-28,84923,1
2010-07-29,84923,3
2010-07-30,84923,1
2010-07-31,84923,1
2010-08-01,84923,1
2010-08-02,84923,1
2010-08-03,84923,1
2010-08-04,84923,1
2010-08-05,84923,1
2010-08-06,84923,1
2010-08-07,84923,1
2010-08-08,84923,1
2010-08-09,84923,1
2010-08-10,84923,1
2010-08-11,84923,1
2010-08-12,84923,1
2010-08-13,84923,1
2010-08-14,84923,1
2010-08-15,84923,1
2010-08-16,84923,1
2010-08-17,84923,1
